pmid	ti	ab	fau	dp
28876752		This is a summary of the results of SBU's evaluation of "Treatment of insomnia in adults". Insomnia is a general term which encompasses several types of sleep disorders. Most people who seek treatment for insomnia do so because of perceived problems such as inadequate hours of sleep or poor sleep quality, leading to a diminished sense of well-being and impaired daytime functioning. Examples of common sleep disorders are that it is hard to get to sleep, awakening after falling asleep and finding it hard to get back to sleep, awakening too early in the morning, or combinations of these disorders. Insomnia increases with age and is more common in women. Those seeking professional help for relief of insomnia usually initially receive individually tailored counselling in self-care, e.g. to try to maintain a regular diurnal rhythm, to avoid eating and drinking habits known to disturb sleep and to ensure that the environment in the bedroom is conducive to sleep. However, the present evaluation has focused on treatment methods which can be used when such self-care does not give adequate relief. SBU's Conclusions: When a decision is made to treat insomnia by pharmacotherapy it is important that the prescriber gives preference to preparations with documented effectiveness. Compared with a placebo, short-term treatment with zolpidem, zopiclone and zaleplon - substances related to bensodiazepine - result in a patient falling asleep more quickly and sleeping for longer in total. Such treatment have some risk of side effects. The risk of developing dependence is higher in individuals who already have an addiction or a mental illness. Psychological treatment methods, in the form of cognitive behavioural therapy (CBT) and other behavioural therapy results in the patient falling asleep more quickly and not being awake so long during the night. If greater reliance is to be placed on psychological treatment methods, it is a prerequisite that more therapists be trained. In the elderly patient, both insomnia in itself and medication to treat the condition can increase the risk of accidentally falling. There is however, an inadequate scientific basis on which to assess the magnitude of these risks and the interrelationship between them. There is an inadequate scientific basis on which to assess the effect of alternative and complementary methods for treatment of insomnia. The few studies available are of inadequate quality. This applies both to medication (valerian and various herbal medicines) and other methods (acupuncture, yoga, etc.).		2010 Jun
27900130	Exercise as medicine-the use of group medical visits to promote physical activity and treat chronic moderate depression: a preliminary 14-week pre-post study.	OBJECTIVE: The evidence that regular physical activity can treat depressive disorders is increasingly robust. However, motivating patients with depression to engage in physical activity can be challenging. Interdisciplinary group medical visits (GMVs) with an integrated physical activity component may be a novel means to support patients in becoming more active. METHODS: We conducted a 'pre-post' pilot study within a primary care setting. Participants were adults (>/=18 years) with a chronic major depressive disorder or a bipolar 2 disorder (depression; chronic). A psychiatrist and exercise therapist co-led a series of 14 weekly 2 h GMVs. Each group visit combined specific medical advice, physical activity, patient discussions and a targeted educational component. Participants also attended 11 weekly hatha yoga classes. Primary outcome was 'steps' as measured by accelerometer (SenseWear) as well as depression (Patient Health Questionnaire, PHQ-9) and anxiety (Generalised Anxiety Disorder, GAD-7) ratings. RESULTS: 14 of 15 participants (93.3%) completed the 14-week programme. After 3 months postintervention, median depression scales (PHQ-9) decreased 38% from 16 to 10 (p<0.01; IQR pre/post 8/12); and median anxiety scales (GAD-7) decreased 50% from 13 to 6.5 (p<0.05; IQR 8.5/9). Median daily 'steps' increased 71% from 3366 to 5746 (IQR 2610/6237), though this was not significant (p>0.10). CONCLUSIONS: While other studies have examined the efficacy of GMVs in addressing chronic illnesses and the promotion of lifestyle changes, none to our knowledge have embedded physical activity within the actual patient visits. Interdisciplinary GMVs (eg, psychiatrist/exercise professional) may be a means to decrease depression and anxiety ratings within clinical care while improving physical activity.	Adams, David J;Remick, Ronald A;Davis, Jennifer C;Vazirian, Sara;Khan, Karim M	2015
26918241	Yoga intervention on blood NO in female migraineurs.	BACKGROUND: The current survey investigates the effect of 12 weeks yoga training on headache frequency, severity, duration and blood nitric oxide levels as well as headache impacts on female migraineurs' lives. MATERIALS AND METHODS: Thirty-two female patients with migraine took part and were randomly divided into two groups. The control group (n = 14) received medication and the yoga group (n = 18) participated in 12 weeks yoga training in addition to receiving the same medication as that of the control group. Frequency and duration of headache were assessed by a questionnaire. Visual Analogue Scale was used to measure the severity of headache, and the metabolite of NO also was measured by Griess reaction. Headache Impact Test (HIT-6) was also used to assess the impact of headache on patients' lives. Data were analyzed by t-test mean variance. RESULTS: After 3 months intervention, in the yoga group, there was a significant reduction in the impact of headache on patients' lives, headache frequency, and severity and a non-significant reduction in headache duration in the yoga group. There was no significant difference in the plasma levels of NO between yoga and control groups before and after the study. CONCLUSION: Based on the results, yoga could be recommended as a complementary method to migraine patients.	Boroujeni, Mahsa Zamani;Marandi, Seyed Mohamad;Esfarjani, Fahimeh;Sattar, Mina;Shaygannejad, Vahid;Javanmard, Shaghayegh Haghjooy	2015
26885051	Functional exercise in combination with auricular plaster therapy is more conducive to rehabilitation of menopausal women patients with anxiety disorder.	OBJECTIVE: Observe the effect of functional exercise in combination with auricular plaster therapy on menopausal women patients with anxiety disorder. METHOD: Select 45 menopausal women patients with anxiety disorder and then adopt random digital table to divide them into a functional exercise group, an auricular plaster therapy group and a combination group. Each group consists of 15 patients. The patients in the functional exercise group do yoga exercise twice a day; those in the auricular plaster therapy group are provided with the auricular plaster therapy twice a day; those in the combination group do yoga exercise and then they are provided with the auricular plaster therapy twice a day. Before the treatment and after 12 weeks' treatment, respectively detect and compare the selected patients in the three groups in respect HAMA score, physical function score and mental function score; And the cured patients are followed up for 3 months to compare recurrence rate of each group. RESULTS: After 12 weeks' treatment, HAMA score, physical function score and mental function score of the combination group are obviously better than those of another two groups (P<0.05); Of the cure rate and the recurrence rate within 3 months, the cure rate of the combination group is higher and the recurrence rate is low. CONCLUSION: Through the functional rehabilitation exercise in combination with the auricular plaster, the combined curative effect is obviously better than that of single treatment and the clinical recurrence rate is significantly lower than that of single treatment. It shows that the combined treatment method presents obvious synergistic effect and the synergistic treatment is more beneficial to improve the curative effect.	Han, Yubin;Duan, Fugui;Xu, Rongmei;Wang, Yi;Zhang, Hongyu	2015
26870677	Immediate effect of yogic visual concentration on cognitive performance.	The ancient Indian yoga text, Hatha Yoga Pradipika, describes six cleansing techniques. The objective of cleansing techniques is to purify and prepare the body for the practice of yoga postures, breath regulation, and meditation. Yogic visual concentration technique (trataka) is one of these techniques. A previous study showed an increase in critical flicker fusion (CFF) following yogic visual concentration (trataka). The present study planned to assess the immediate effect of trataka on cognitive performance using the Stroop color-word test. Performance on the Stroop color-word test was assessed in 30 healthy male volunteers with ages ranging from 18 years to 31 years old (22.57 +/- 3.65 years). The participants were tested before and after yogic visual concentration (trataka) and during a control session on two separate days. There was a significant improvement in performance on the Stroop color-word test after trataka compared to the control session [repeated measures analysis of variance (RM ANOVA) with Bonferroni adjustment; p < 0.001]. Performance on the Stroop color-word test was better after trataka compared to the control session suggesting that the trataka technique increased the selective attention, cognitive flexibility, and response inhibition.	Raghavendra, B R;Singh, Prashanth	2016 Jan
26730136	A pilot study on Ayurvedic management of oral submucous fibrosis.	INTRODUCTION: Oral submucous fibrosis (OSMF) is a chronic debilitating disease and a well-recognized potentially premalignant condition of the oral cavity. Various medical and surgical treatment modalities have been used in modern science, but results are not satisfactory owing to recurrence, adverse effects, and sometimes worsening the condition. On analyzing the disease condition with Ayurvedic approach, it seems to be nearer to Vata-Pitta dominant chronic Sarvasara Mukharoga and needs to be treated at local as well as systemic level. AIM: To evaluate the effect of proposed Ayurvedic treatment protocol in the patients of OSMF. MATERIALS AND METHODS: It was an open-label nonrandomized clinical trial with black box design comprising of holistic Ayurvedic approach in which 22 patients of OSMF completed the treatment. In all of them after Koshthashuddhi (mild purgation) and Shodhana Nasya (errhine therapy); Pratisarana (external application) with Madhupippalyadi Yoga, Kavala (gargling) with Ksheerabala Taila and internally Rasayana Yoga were given for 2 months and followed for 1 month. RESULTS: It revealed statistically highly significant relief in almost all signs and symptoms as well in inter incisal distance improvement. Furthermore, sustained relief was found in follow-up. CONCLUSION: Ayurvedic treatment protocol is effective in the management of OSMF.	Patel, Kundan R;Rajagopala, Manjusha;Vaghela, Dharmendrasinh B;Shah, Ashok	2015 Jan-Mar
26730131	Role of AYUSH workforce, therapeutics, and principles in health care delivery with special reference to National Rural Health Mission.	Decades back AYUSH systems of medicine were limited to their own field with few exceptions in some states as health in India is a state issue. This took a reverse turn after the initiation of National Rural Health Mission (NRHM) in 2005 which brought the concept of "Mainstreaming of AYUSH and Revitalization of Local Health Traditions" utilizing the untapped AYUSH workforces, therapeutics and principles for the management of community health problems. As on 31/03/2012 AYUSH facilities were co-located in 468 District Hospitals, 2483 Community Health Centers and 8520 Primary Health Centers in the country. Several therapeutics are currently in use and few drugs have been included in the ASHA drug kit to treat common ailments in the community. At the same time Government of India has recognized few principles and therapeutics of Ayurveda as modalities of intervention to some of the community health problems. These include Ksharasutra (medicine coated thread) therapy for ano-rectal surgeries and Rasayana Chikitsa (rejuvenative therapy) for senile degenerative disorders etc. Similarly respective principles and therapeutics can also be utilized from other systems of AYUSH such as Yoga and Naturopathy, Unani, Siddha and Homoeopathy. Akin to Ayurveda these principles and therapeutics can also help in managing community health problems if appropriately implemented. This paper is a review on the role of AYUSH, as a system, in the delivery of health care in India with special reference to National Rural Health Mission.	Samal, Janmejaya	2015 Jan-Mar
26698309	Intraocular Pressure Rise in Subjects with and without Glaucoma during Four Common Yoga Positions.	PURPOSE: To measure changes in intraocular pressure (IOP) in association with yoga exercises with a head-down position. METHODS: The single Center, prospective, observational study included 10 subjects with primary open-angle glaucoma and 10 normal individuals, who performed the yoga exercises of Adho Mukha Svanasana, Uttanasana, Halasana and Viparita Karani for two minutes each. IOP was measured by pneumatonometry at baseline and during and after the exercises. RESULTS: All yoga poses were associated with a significant (P < 0.01) rise in IOP within one minute after assuming the yoga position. The highest IOP increase (P < 0.01) was measured in the Adho Mukha Svanasana position (IOP increase from 17 +/- 3.2 mmHg to 28 +/- 3.8 mmHg in glaucoma patients; from 17 +/- 2.8 mmHg to 29 +/- 3.9 mmHg in normal individuals), followed by the Uttanasana position (17 +/- 3.9 mmHg to 27 +/- 3.4 mmHg (glaucoma patients) and from 18 +/- 2.5 mmHg to 26 +/- 3.6 mmHg normal individuals)), the Halasana position (18 +/- 2.8 mmHg to 24 +/- 3.5 mmHg (glaucoma patients); 18 +/- 2.7 mmHg to 22 +/- 3.4 mmHg (normal individuals)), and finally the Viparita Kirani position (17 +/- 4 mmHg to 21 +/- 3.6 mmHg (glaucoma patients); 17 +/- 2.8 to 21 +/- 2.4 mmHg (normal individuals)). IOP dropped back to baseline values within two minutes after returning to a sitting position. Overall, IOP rise was not significantly different between glaucoma and normal subjects (P = 0.813), all though glaucoma eyes tended to have measurements 2 mm Hg higher on average. CONCLUSIONS: Yoga exercises with head-down positions were associated with a rapid rise in IOP in glaucoma and healthy eyes. IOP returned to baseline values within 2 minutes. Future studies are warranted addressing whether yoga exercise associated IOP changes are associated with similar changes in cerebrospinal fluid pressure and whether they increase the risk of glaucoma progression. TRIAL REGISTRATION: ClinicalTrials.gov #NCT01915680.	Jasien, Jessica V;Jonas, Jost B;de Moraes, C Gustavo;Ritch, Robert	2015
26673479	Integrating complementary/alternative medicine into primary care: evaluating the evidence and appropriate implementation.	The frequency with which patients utilize treatments encompassed by the term complementary/alternative medicine (CAM) is well documented. A number of these therapies are beginning to be integrated into contemporary medical practice. This article examines three of them: osteopathic manipulation, yoga, and acupuncture, with a focus on their physiological effects, efficacy in treating medical conditions commonly encountered by practitioners, precautions or contraindications, and ways in which they can be incorporated into clinical practice. Physicians should routinely obtain information about use of CAM as part of their patient history and should consider their role based on physiological effects and clinical research results.	Wainapel, Stanley F;Rand, Stephanie;Fishman, Loren M;Halstead-Kenny, Jennifer	2015
26667618	Accepted Abstracts.			2015
